Year,SeqNumber,identity,Yrs_exp,Education,Top_J_Pubs,Ref_J_Pubs,Textbooks,Research_Books,Other_Pubs,Salary,Summer,summer_yrs,res_budget,move_supp,tch_load,Tenure_Req_Lvl,Tenure_Req_A,Tenure_Req_tot,Position,location,pub_prvt,Union,Country,Region,schl_deg,accredit,Accepted_ornot,Tch/Res,%_Summer,%_Budget,tot_J pubs
2000/2001,119,NA,1,Phd/DBA,NA,NA,NA,NA,NA,"$95,000","$21,111",3,"$2,000","$5,000",3,NA,NA,NA,Asst,urban,public,No,USA,US S.,Doctorate,National,Have accepted,Research (<=4),1,1,0
2000/2001,120,yes,12,Phd/DBA,NA,NA,NA,NA,NA,"$82,000","$2,000",2,NA,NA,6,NA,NA,NA,visitor,urban,public,No,USA,US W.,Masters,National,Have accepted,Teach (>4),1,0,0
2000/2001,121,NA,4,Phd/DBA,NA,NA,NA,NA,NA,"$85,000","$18,888",2,"$5,000","$6,000",3,NA,NA,NA,Asst,suburban,private,No,USA,US N.E.,Masters,National,Have accepted,Research (<=4),1,1,0
2000/2001,122,NA,5,Phd/DBA,NA,NA,NA,NA,NA,"$83,000","$7,500",2,NA,"$7,500",3,NA,NA,NA,Asst,urban,public,Yes,USA,US N.E.,Doctorate,National,won't accept,Research (<=4),1,0,0
2000/2001,123,yes,4,Phd/DBA,NA,NA,NA,NA,NA,"$77,800",NA,NA,NA,NA,6,NA,NA,NA,Asst,suburban,public,No,USA,US M.W.,Masters,National,Have accepted,Teach (>4),0,0,0
2000/2001,124,yes,5,Phd/DBA,NA,NA,NA,NA,NA,"$90,000",NA,NA,NA,$-,4,NA,NA,NA,visitor,urban,public,No,USA,US W.,Doctorate,National,Have accepted,Research (<=4),0,0,0
2000/2001,125,yes,2,Phd/DBA,NA,NA,NA,NA,NA,"$90,000","$20,000",2,"$1,500",$-,4,NA,NA,NA,Asst,urban,public,No,USA,US M.W.,Doctorate,National,won't accept,Research (<=4),1,1,0
2000/2001,126,yes,2,Phd/DBA,NA,NA,NA,NA,NA,"$85,000",NA,NA,"$1,000",$-,4,NA,NA,NA,Asst,rural,public,No,USA,US S.,Doctorate,National,won't accept,Research (<=4),0,1,0
2000/2001,127,yes,2,Phd/DBA,NA,NA,NA,NA,NA,"$72,000","$6,000",2,"$1,500",$-,4,NA,NA,NA,Asst,suburban,public,No,USA,US S.,Doctorate,National,won't accept,Research (<=4),1,1,0
2000/2001,128,NA,1,Phd/DBA,NA,NA,NA,NA,NA,"$73,000","$5,000",2,NA,"$1,000",6,NA,NA,NA,Asst,suburban,public,No,USA,US S.,Masters,Regional,Have accepted,Teach (>4),1,0,0
2000/2001,129,yes,2,Phd/DBA,NA,NA,NA,NA,NA,"$70,000",NA,NA,$750,$-,6,NA,NA,NA,Asst,rural,public,No,USA,US S.,Masters,National,won't accept,Teach (>4),0,1,0
2000/2001,130,yes,2,Phd/DBA,NA,NA,NA,NA,NA,"$70,000",NA,NA,$750,$-,6,NA,NA,NA,Asst,suburban,public,No,USA,US M.W.,Masters,National,Have accepted,Teach (>4),0,1,0
2000/2001,131,NA,20,Phd/DBA,NA,NA,NA,NA,NA,"$135,000","$22,500",5,"$5,000","$8,000",2,NA,NA,NA,full/chair,urban,private,No,USA,US N.E.,Masters,National,Have accepted,Research (<=4),1,1,0
2000/2001,132,NA,3,MBA/MS,NA,NA,NA,NA,NA,"$80,000","$15,000",2,"$3,000","$3,000",4,NA,NA,NA,Asst,suburban,private,No,USA,US N.E.,Masters,National,won't accept,Research (<=4),1,1,0
2000/2001,133,NA,3,Phd/DBA,NA,NA,NA,NA,NA,"$90,000","$18,000",3,"$4,000","$4,000",3,NA,NA,NA,Asst,urban,mixed,No,USA,US N.E.,Doctorate,National,won't accept,Research (<=4),1,1,0
2000/2001,134,NA,3,Phd/DBA,NA,NA,NA,NA,NA,"$87,000","$14,503",3,NA,"$7,000",4,NA,NA,NA,switched Asst,urban,private,No,USA,US N.E.,Masters,National,Have accepted,Research (<=4),1,0,0
2000/2001,135,NA,0.5,MBA/MS,NA,NA,NA,NA,NA,"$45,000",NA,NA,NA,NA,8,NA,NA,NA,instructor,rural,mixed,No,USA,US N.E.,Doctorate,National,Have accepted,Teach (>4),0,0,0
2000/2001,136,NA,2,Phd/DBA,NA,NA,NA,NA,NA,"$89,000","$15,000",3,"$5,000","$3,500",4,NA,NA,NA,Asst,suburban,public,No,USA,US M.W.,Doctorate,National,might accept,Research (<=4),1,1,0
2000/2001,137,yes,3,Phd/DBA,NA,NA,NA,NA,NA,"$96,500","$19,300",3,"$2,000","$4,000",4,NA,NA,NA,Asst,suburban,public,No,USA,US N.E.,Doctorate,National,Have accepted,Research (<=4),1,1,0
2000/2001,138,NA,4,Phd/DBA,NA,NA,NA,NA,NA,"$77,500","$3,000",1,"$4,000",$-,6,NA,NA,NA,Asst,urban,private,No,USA,US N.E.,Masters,National,Have accepted,Teach (>4),1,1,0
2000/2001,139,yes,0,Phd/DBA,NA,NA,NA,NA,NA,"$30,000",NA,NA,NA,"$10,000",6,NA,NA,NA,Asst,urban,public,Yes,UK,NA,Doctorate,National,Have accepted,Teach (>4),0,0,0
2000/2001,140,yes,7,Phd/DBA,NA,NA,NA,NA,NA,"$90,000","$20,000",2,"$3,500","$10,000",4,NA,NA,NA,Asst,urban,public,No,USA,US S.,Doctorate,National,Have accepted,Research (<=4),1,1,0
2000/2001,141,yes,5,Phd/DBA,NA,NA,NA,NA,NA,"$78,000","$8,000",1,"$2,000","$4,500",4,NA,NA,NA,Asst,urban,private,No,USA,US N.E.,Doctorate,National,Have accepted,Research (<=4),1,1,0
2000/2001,142,NA,4,Phd/DBA,NA,NA,NA,NA,NA,"$80,000",NA,NA,NA,$-,4,NA,NA,NA,Asst,suburban,public,Yes,USA,US N.E.,unspecified,National,Have accepted,Research (<=4),0,0,0
2000/2001,143,NA,3,Phd/DBA,NA,NA,NA,NA,NA,"$90,000","$20,000",3,"$5,000","$4,000",3,NA,NA,NA,switched Asst,suburban,public,No,USA,US S.,Masters,National,won't accept,Research (<=4),1,1,0
2000/2001,144,yes,4,Phd/DBA,NA,NA,NA,NA,NA,"$87,000","$16,500",2,NA,"$3,000",4,NA,NA,NA,Asst,rural,public,No,USA,US S.,Doctorate,unspecified,Have accepted,Research (<=4),1,0,0
2000/2001,145,yes,4,Phd/DBA,NA,NA,NA,NA,NA,"$85,000","$18,888",2,NA,$-,3,NA,NA,NA,Asst,rural,private,No,USA,US N.E.,unspecified,unspecified,won't accept,Research (<=4),1,0,0
2000/2001,146,yes,4,Phd/DBA,NA,NA,NA,NA,NA,"$70,000",NA,NA,NA,"$1,000",6,NA,NA,NA,Asst,rural,private,No,USA,US S.,Masters,unspecified,won't accept,Teach (>4),0,0,0
2000/2001,147,NA,6,Phd/DBA,NA,NA,NA,NA,NA,"$115,000","$20,000",3,"$5,000","$3,500",4,NA,NA,NA,assoc/not tenured,suburban,public,No,USA,US M.W.,Doctorate,National,Have accepted,Research (<=4),1,1,0
2000/2001,148,NA,6,Phd/DBA,NA,NA,NA,NA,NA,"$105,000","$15,000",3,"$3,500","$3,000",4,NA,NA,NA,assoc/not tenured,suburban,public,No,USA,US M.W.,Doctorate,National,won't accept,Research (<=4),1,1,0
2000/2001,149,NA,2,Phd/DBA,NA,NA,NA,NA,NA,"$91,000","$10,000",3,"$4,500","$3,000",6,NA,NA,NA,switched Asst,urban,mixed,No,USA,US W.,Doctorate,National,Have accepted,Teach (>4),1,1,0
2000/2001,150,yes,8,Phd/DBA,NA,NA,NA,NA,NA,"$95,000","$10,555",2,NA,"$10,000",4,NA,NA,NA,associate/tenure,urban,public,No,USA,US W.,Doctorate,National,Have accepted,Research (<=4),1,0,0
2000/2001,151,yes,0,Phd/DBA,NA,NA,NA,NA,NA,"$95,000","$20,000",2,NA,"$5,000",4,NA,NA,NA,Asst,urban,public,Yes,USA,US N.E.,Doctorate,National,Have accepted,Research (<=4),1,0,0
2000/2001,152,NA,0,MBA/MS,NA,NA,NA,NA,NA,"$40,000",NA,NA,NA,$-,6,NA,NA,NA,instructor,rural,public,No,USA,US S.,Masters,National,Have accepted,Teach (>4),0,0,0
2000/2001,153,NA,17,Phd/DBA,NA,NA,NA,NA,NA,"$130,000",NA,NA,NA,$-,2,NA,NA,NA,full/chair,urban,public,No,USA,NA,Doctorate,National,Have accepted,Research (<=4),0,0,0
2000/2001,154,NA,1,Phd/DBA,NA,NA,NA,NA,NA,"$70,000",NA,NA,"$3,000","$1,000",7,NA,NA,NA,Asst,rural,public,No,USA,US S.,Masters,Local,Have accepted,Teach (>4),0,1,0
2000/2001,155,yes,25,Phd/DBA,NA,NA,NA,NA,NA,"$210,000",NA,NA,"$20,000","$10,000",9,NA,NA,NA,full/chair,urban,private,No,USA,US S.,Masters,National,won't accept,Teach (>4),0,1,0
2000/2001,156,yes,15,MBA/MS,NA,NA,NA,NA,NA,"$1,200","$5,000",2,NA,$-,2,NA,NA,NA,instructor,suburban,public,Yes,Indonesia,NA,Doctorate,National,Have accepted,Research (<=4),1,0,0
2000/2001,157,NA,0,Phd/DBA,NA,NA,NA,NA,NA,"$75,000","$4,000",2,NA,$-,6,NA,NA,NA,Asst,rural,public,Yes,USA,US S.,Masters,Regional,might accept,Teach (>4),1,0,0
2000/2001,158,NA,14,Phd/DBA,NA,NA,NA,NA,NA,"$142,500","$25,000",5,"$10,000","$10,000",3,NA,NA,NA,full/chair,rural,public,No,USA,NA,Doctorate,National,Have accepted,Research (<=4),1,1,0
2000/2001,159,NA,1,Phd/DBA,NA,NA,NA,NA,NA,"$90,000","$15,000",3,"$10,000","$4,000",4,NA,NA,NA,Asst,urban,public,No,USA,US W.,Masters,National,might accept,Research (<=4),1,1,0
2001/2002,1,NA,1,Phd/DBA,NA,NA,NA,NA,NA,"$102,500","$22,500",2,"$3,000","$4,500",4,NA,NA,NA,Asst,urban,private,No,USA,US N.E.,Doctorate,National,Have accepted,Research (<=4),1,1,0
2001/2002,2,NA,1,Phd/DBA,NA,NA,NA,NA,NA,"$54,000","$10,000",1,"$5,000",NA,4,NA,NA,NA,Asst,urban,private,No,USA,US S.,Doctorate,National,Have accepted,Research (<=4),1,1,0
2001/2002,3,yes,4,Phd/DBA,NA,NA,NA,NA,NA,"$90,000","$20,000",2,NA,NA,4,NA,NA,NA,Asst,urban,private,No,USA,US N.E.,Masters,National,won't accept,Research (<=4),1,0,0
2001/2002,4,yes,4,Phd/DBA,NA,NA,NA,NA,NA,"$97,000","$21,555",2,"$1,000","$10,777",4,NA,NA,NA,Asst,urban,public,No,USA,US M.W.,Doctorate,National,might accept,Research (<=4),1,1,0
2001/2002,5,NA,NA,Phd/DBA,NA,NA,NA,NA,NA,"$85,000","$14,166",3,NA,"$14,166",5,NA,NA,NA,Asst,urban,private,No,USA,US N.E.,Masters,National,won't accept,Teach (>4),1,0,0
2001/2002,6,NA,3,Phd/DBA,NA,NA,NA,NA,NA,"$95,000","$21,111",2,NA,"$2,500",4,NA,NA,NA,switched Asst,urban,public,No,USA,US S.,Doctorate,National,won't accept,Research (<=4),1,0,0
2001/2002,7,NA,3,Phd/DBA,NA,NA,NA,NA,NA,"$95,000","$10,000",2,NA,NA,4,NA,NA,NA,switched Asst,urban,public,No,USA,US S.,Masters,National,won't accept,Research (<=4),1,0,0
2001/2002,8,NA,1,Phd/DBA,NA,NA,NA,NA,NA,"$95,000","$20,000",3,NA,"$10,000",3,NA,NA,NA,Asst,urban,private,No,USA,US N.E.,Doctorate,National,won't accept,Research (<=4),1,0,0
2001/2002,9,NA,1,Phd/DBA,NA,NA,NA,NA,NA,"$105,000","$15,000",3,NA,"$6,000",4,NA,NA,NA,Asst,rural,public,No,USA,US N.E.,Doctorate,National,Have accepted,Research (<=4),1,0,0
2001/2002,10,NA,1,Phd/DBA,NA,NA,NA,NA,NA,"$100,000","$15,000",4,"$6,000","$9,000",4,NA,NA,NA,Asst,rural,public,No,USA,US N.E.,Doctorate,National,won't accept,Research (<=4),1,1,0
2001/2002,11,yes,6,Phd/DBA,NA,NA,NA,NA,NA,"$87,500","$7,500",2,$600,"$2,500",5,NA,NA,NA,switched Asst,urban,private,No,USA,US M.W.,Masters,National,won't accept,Teach (>4),1,1,0
2001/2002,12,yes,6,Phd/DBA,NA,NA,NA,NA,NA,"$100,000","$7,500",2,NA,"$4,000",6,NA,NA,NA,assoc/not tenured,rural,public,Yes,USA,US M.W.,Masters,National,won't accept,Teach (>4),1,0,0
2001/2002,13,yes,6,Phd/DBA,NA,NA,NA,NA,NA,"$85,000","$20,000",2,NA,"$8,000",2,NA,NA,NA,assoc/not tenured,urban,public,Yes,USA,US N.E.,Doctorate,National,won't accept,Research (<=4),1,0,0
2001/2002,14,yes,6,Phd/DBA,NA,NA,NA,NA,NA,"$97,000","$22,000",2,"$1,000","$10,700",4,NA,NA,NA,switched Asst,urban,public,No,USA,US M.W.,Doctorate,National,Have accepted,Research (<=4),1,1,0
2001/2002,15,NA,10,Phd/DBA,NA,NA,NA,NA,NA,"$99,000","$22,000",2,"$3,000","$5,000",4,NA,NA,NA,assoc/not tenured,rural,public,No,USA,NA,Doctorate,National,Have accepted,Research (<=4),1,1,0
2001/2002,16,yes,0.5,Phd/DBA,NA,NA,NA,NA,NA,"$105,000","$15,000",3,"$3,000","$6,000",4,NA,NA,NA,Asst,rural,public,Yes,USA,US N.E.,Doctorate,National,Have accepted,Research (<=4),1,1,0
2001/2002,17,yes,0.5,Phd/DBA,NA,NA,NA,NA,NA,"$93,000",NA,NA,"$3,000","$3,000",4,NA,NA,NA,Asst,urban,public,No,USA,US S.,Masters,National,won't accept,Research (<=4),0,1,0
2001/2002,18,yes,0.5,Phd/DBA,NA,NA,NA,NA,NA,"$80,000","$5,000",2,NA,"$3,000",4,NA,NA,NA,Asst,urban,public,No,USA,US W.,Masters,Regional,won't accept,Research (<=4),1,0,0
2001/2002,19,yes,9,Phd/DBA,NA,NA,NA,NA,NA,"$100,000","$12,500",2,"$2,000","$2,500",4,NA,NA,NA,associate/tenure,urban,public,Yes,USA,US S.,Doctorate,National,Have accepted,Research (<=4),1,1,0
2001/2002,20,yes,9,Phd/DBA,NA,NA,NA,NA,NA,"$105,000",NA,NA,$500,$-,5,NA,NA,NA,associate/tenure,suburban,public,Yes,USA,US S.,Doctorate,National,won't accept,Teach (>4),0,1,0
2001/2002,21,NA,5,Phd/DBA,NA,NA,NA,NA,NA,"$100,000","$22,500",2,NA,"$11,225",3,NA,NA,NA,switched Asst,urban,public,No,USA,US W.,Doctorate,National,won't accept,Research (<=4),1,0,0
2001/2002,22,NA,5,Phd/DBA,NA,NA,NA,NA,NA,"$105,000","$23,333",3,NA,"$3,500",4,NA,NA,NA,assoc/not tenured,urban,public,No,USA,US S.,Doctorate,National,won't accept,Research (<=4),1,0,0
2001/2002,23,NA,5,Phd/DBA,NA,NA,NA,NA,NA,"$105,000","$23,333",3,"$3,500","$7,500",4,NA,NA,NA,assoc/not tenured,urban,public,No,USA,US S.,Doctorate,National,Have accepted,Research (<=4),1,1,0
2001/2002,24,yes,5,Phd/DBA,NA,NA,NA,NA,NA,"$70,000",NA,NA,"$3,500","$8,000",6,NA,NA,NA,assoc/not tenured,urban,private,No,USA,US S.,Masters,National,might accept,Teach (>4),0,1,0
2001/2002,25,NA,1,Phd/DBA,NA,NA,NA,NA,NA,"$82,000","$6,000",2,NA,NA,6,NA,NA,NA,Asst,suburban,public,No,USA,US M.W.,Masters,National,Have accepted,Teach (>4),1,0,0
2001/2002,26,NA,1,Phd/DBA,NA,NA,NA,NA,NA,"$90,000","$10,000",3,NA,"$5,000",4,NA,NA,NA,Asst,suburban,public,No,USA,US W.,Doctorate,National,Have accepted,Research (<=4),1,0,0
2001/2002,27,NA,4,Phd/DBA,NA,NA,NA,NA,NA,"$110,000","$20,000",3,"$5,000","$5,000",4,NA,NA,NA,assoc/not tenured,urban,private,No,USA,US N.E.,Doctorate,National,might accept,Research (<=4),1,1,0
2001/2002,28,NA,4,Phd/DBA,NA,NA,NA,NA,NA,"$120,000","$26,666",3,"$3,500","$3,000",4,NA,NA,NA,assoc/not tenured,suburban,public,No,USA,US N.E.,Doctorate,National,might accept,Research (<=4),1,1,0
2001/2002,29,NA,1,Phd/DBA,NA,NA,NA,NA,NA,"$96,500","$21,444",3,"$3,500","$3,000",4,NA,NA,NA,Asst,suburban,public,No,USA,US M.W.,Doctorate,National,might accept,Research (<=4),1,1,0
2001/2002,30,NA,1,Phd/DBA,NA,NA,NA,NA,NA,"$92,500","$21,444",3,"$4,000","$3,500",3,NA,NA,NA,Asst,suburban,public,No,USA,US S.,Doctorate,National,might accept,Research (<=4),1,1,0
2001/2002,31,yes,3,Phd/DBA,NA,NA,NA,NA,NA,"$44,000",NA,NA,NA,"$3,000",6,NA,NA,NA,associate/tenure,urban,public,NA,United Kingdom,NA,Doctorate,National,Have accepted,Teach (>4),0,0,0
2001/2002,32,NA,8,Phd/DBA,NA,NA,NA,NA,NA,"$90,000","$7,000",3,"$1,800","$8,000",5,NA,NA,NA,assoc/not tenured,urban,private,No,USA,US M.W.,Bachelor,National,won't accept,Teach (>4),1,1,0
2001/2002,33,NA,1,Phd/DBA,NA,NA,NA,NA,NA,"$95,000","$21,000",3,NA,NA,4,NA,NA,NA,Asst,urban,private,No,USA,US N.E.,Doctorate,National,Have accepted,Research (<=4),1,0,0
2001/2002,34,NA,2,Phd/DBA,NA,NA,NA,NA,NA,"$82,500",NA,NA,"$2,000",$-,6,NA,NA,NA,switched Asst,suburban,public,No,USA,US S.,Masters,National,Have accepted,Teach (>4),0,1,0
2001/2002,35,yes,12,Phd/DBA,NA,NA,NA,NA,NA,"$96,000","$16,000",1,"$1,500","$3,000",4,NA,NA,NA,assoc/not tenured,rural,public,No,USA,US S.,Doctorate,National,Have accepted,Research (<=4),1,1,0
2001/2002,36,yes,12,Phd/DBA,NA,NA,NA,NA,NA,"$82,000","$2,000",1,"$1,500","$2,000",4,NA,NA,NA,switched Asst,rural,public,No,USA,US M.W.,Masters,National,won't accept,Research (<=4),1,1,0
2001/2002,37,NA,1,Phd/DBA,NA,NA,NA,NA,NA,"$56,000","$18,667",1,"$10,000","$12,000",3,NA,NA,NA,Asst,suburban,public,Yes,USA,US S.,Doctorate,National,Have accepted,Research (<=4),1,1,0
2001/2002,38,NA,3,Phd/DBA,NA,NA,NA,NA,NA,"$90,000","$18,000",2,NA,"$2,500",4,NA,NA,NA,switched Asst,urban,public,No,USA,US S.,Doctorate,National,won't accept,Research (<=4),1,0,0
2001/2002,39,NA,3,Phd/DBA,NA,NA,NA,NA,NA,"$78,500","$6,500",2,NA,NA,6,NA,NA,NA,switched Asst,suburban,public,No,USA,US W.,Masters,National,won't accept,Teach (>4),1,0,0
2001/2002,40,NA,0,MBA/MS,NA,NA,NA,NA,NA,"$82,500","$6,500",1,"$10,000","$5,000",2,NA,NA,NA,Asst,urban,public,Yes,USA,US N.E.,Doctorate,National,won't accept,Research (<=4),1,1,0
2001/2002,41,NA,0,MBA/MS,NA,NA,NA,NA,NA,"$85,000","$16,500",4,NA,"$2,500",5,NA,NA,NA,Asst,suburban,private,No,USA,US N.E.,Masters,National,might accept,Teach (>4),1,0,0
2001/2002,42,NA,0,MBA/MS,NA,NA,NA,NA,NA,"$96,000","$16,000",3,NA,"$2,500",6,NA,NA,NA,Asst,urban,private,No,USA,US N.E.,Masters,National,might accept,Teach (>4),1,0,0
2001/2002,43,yes,6,Phd/DBA,NA,NA,NA,NA,NA,"$75,000",NA,NA,NA,"$1,000",6,NA,NA,NA,switched Asst,urban,public,No,USA,US M.W.,Masters,none,won't accept,Teach (>4),0,0,0
2001/2002,44,NA,5,Phd/DBA,NA,NA,NA,NA,NA,"$15,500",NA,NA,NA,$-,24,NA,NA,NA,associate/tenure,suburban,public,No,Spain,NA,Doctorate,NA,Have accepted,Teach (>4),0,0,0
2001/2002,45,NA,4,Phd/DBA,NA,NA,NA,NA,NA,"$105,000","$2,000",3,"$3,000","$9,000",4,NA,NA,NA,switched Asst,urban,public,No,USA,US S.,Doctorate,National,Have accepted,Research (<=4),1,1,0
2001/2002,46,NA,2,Phd/DBA,NA,NA,NA,NA,NA,"$100,000","$20,000",3,"$3,500",$-,4,NA,NA,NA,Asst,urban,private,No,USA,US N.E.,Doctorate,National,might accept,Research (<=4),1,1,0
2001/2002,47,NA,2,Phd/DBA,NA,NA,NA,NA,NA,"$96,000","$21,333",3,"$3,500","$4,000",3,NA,NA,NA,Asst,rural,mixed,No,USA,US N.E.,Masters,National,might accept,Research (<=4),1,1,0
2001/2002,48,NA,2,Phd/DBA,NA,NA,NA,NA,NA,"$95,000","$15,833",2,NA,NA,4,NA,NA,NA,Asst,suburban,public,No,USA,US M.W.,Doctorate,National,might accept,Research (<=4),1,0,0
2001/2002,49,NA,0,Phd/DBA,NA,NA,NA,NA,NA,"$112,000","$24,888",3,"$5,000","$15,000",4,NA,NA,NA,Asst,urban,private,No,USA,US S.,Masters,National,won't accept,Research (<=4),1,1,0
2001/2002,50,NA,0,Phd/DBA,NA,NA,NA,NA,NA,"$110,000","$24,444",6,"$3,500","$7,500",4,NA,NA,NA,Asst,urban,private,No,USA,US S.,Doctorate,National,won't accept,Research (<=4),1,1,0
2001/2002,51,NA,0,Phd/DBA,NA,NA,NA,NA,NA,"$106,000","$23,555",3,"$6,000","$8,000",3.5,NA,NA,NA,Asst,rural,public,No,USA,US N.E.,Doctorate,National,won't accept,Research (<=4),1,1,0
2001/2002,52,NA,0,Phd/DBA,NA,NA,NA,NA,NA,"$102,000","$22,666",6,"$6,000","$7,500",3,NA,NA,NA,Asst,suburban,private,No,USA,US M.W.,Masters,National,Have accepted,Research (<=4),1,1,0
2001/2002,53,NA,0,Phd/DBA,NA,NA,NA,NA,NA,"$97,000","$21,555",3,"$6,000","$11,000",4,NA,NA,NA,Asst,urban,public,No,USA,US M.W.,Doctorate,National,won't accept,Research (<=4),1,1,0
2001/2002,54,NA,2,Phd/DBA,NA,NA,NA,NA,NA,"$100,000","$20,000",3,NA,"$3,000",4,NA,NA,NA,Asst,urban,private,No,USA,US N.E.,Masters,National,might accept,Research (<=4),1,0,0
2001/2002,55,yes,11,Phd/DBA,NA,NA,NA,NA,NA,"$99,000","$22,000",2,"$3,000","$3,000",4,NA,NA,NA,assoc/not tenured,urban,public,No,USA,US M.W.,Doctorate,National,Have accepted,Research (<=4),1,1,0
2001/2002,56,NA,1,Phd/DBA,NA,NA,NA,NA,NA,"$95,000","$21,100",3,"$5,000","$5,000",7,NA,NA,NA,Asst,urban,private,No,USA,US N.E.,Doctorate,National,won't accept,Teach (>4),1,1,0
2001/2002,57,NA,1,Phd/DBA,NA,NA,NA,NA,NA,"$95,000","$21,000",4,"$5,000","$5,000",3,NA,NA,NA,Asst,urban,private,No,USA,US N.E.,Doctorate,National,won't accept,Research (<=4),1,1,0
2001/2002,58,NA,1,Phd/DBA,NA,NA,NA,NA,NA,"$94,000","$9,000",2,"$4,000","$2,000",4,NA,NA,NA,Asst,urban,public,No,USA,US S.,Doctorate,National,won't accept,Research (<=4),1,1,0
2001/2002,59,NA,4,Phd/DBA,NA,NA,NA,NA,NA,"$85,500","$15,000",3,NA,"$9,000",4,NA,NA,NA,switched Asst,suburban,private,Yes,Australia,NA,Doctorate,National,Have accepted,Research (<=4),1,0,0
2001/2002,60,NA,0,MBA/MS,NA,NA,NA,NA,NA,"$96,000","$16,000",3,NA,NA,5,NA,NA,NA,Asst,urban,private,No,USA,US N.E.,Masters,National,won't accept,Teach (>4),1,0,0
2001/2002,61,NA,0,MBA/MS,NA,NA,NA,NA,NA,"$94,000","$19,000",2,NA,NA,4,NA,NA,NA,Asst,urban,public,Yes,USA,US S.,Doctorate,National,won't accept,Research (<=4),1,0,0
2001/2002,62,NA,0,MBA/MS,NA,NA,NA,NA,NA,"$85,000","$20,000",1,NA,NA,4,NA,NA,NA,Asst,urban,public,Yes,USA,US N.E.,Doctorate,National,won't accept,Research (<=4),1,0,0
2001/2002,63,NA,0,MBA/MS,NA,NA,NA,NA,NA,"$90,000","$15,000",4,NA,NA,5,NA,NA,NA,Asst,suburban,private,No,USA,US N.E.,Masters,National,Have accepted,Teach (>4),1,0,0
2001/2002,64,yes,2,Phd/DBA,NA,NA,NA,NA,NA,"$105,000","$15,000",3,"$3,000","$5,000",4,NA,NA,NA,switched Asst,urban,public,No,USA,US W.,Doctorate,National,Have accepted,Research (<=4),1,1,0
2001/2002,65,yes,2,Phd/DBA,NA,NA,NA,NA,NA,"$90,000","$9,000",2,NA,"$5,000",4,NA,NA,NA,switched Asst,urban,public,No,USA,US W.,Doctorate,National,won't accept,Research (<=4),1,0,0
2001/2002,66,yes,2,Phd/DBA,NA,NA,NA,NA,NA,"$82,500","$18,000",1,NA,"$5,000",3,NA,NA,NA,switched Asst,urban,public,Yes,USA,US N.E.,Doctorate,National,won't accept,Research (<=4),1,0,0
2001/2002,67,NA,16,Phd/DBA,NA,NA,NA,NA,NA,"$100,000","$22,000",2,"$3,500","$7,000",4,NA,NA,NA,assoc/not tenured,suburban,private,No,USA,US W.,Doctorate,National,Have accepted,Research (<=4),1,1,0
2001/2002,68,NA,3,Phd/DBA,NA,NA,NA,NA,NA,"$105,000","$23,100",4,NA,"$5,000",4,NA,NA,NA,switched Asst,unspecified,public,No,USA,US S.,unspecified,National,Have accepted,Research (<=4),1,0,0
2001/2002,69,yes,3,Phd/DBA,NA,NA,NA,NA,NA,"$90,000","$19,800",3,"$4,000","$4,000",4,NA,NA,NA,Asst,urban,public,No,USA,US S.,Doctorate,National,won't accept,Research (<=4),1,1,0
2001/2002,70,yes,5,Phd/DBA,NA,NA,NA,NA,NA,"$90,000","$18,000",2,"$8,000","$1,000",4,NA,NA,NA,switched Asst,urban,public,No,USA,US M.W.,unspecified,National,Have accepted,Research (<=4),1,1,0
2001/2002,71,yes,6,Phd/DBA,NA,NA,NA,NA,NA,"$78,000","$17,333",2,"$2,500",NA,5,NA,NA,NA,switched Asst,rural,public,No,USA,US N.E.,Doctorate,National,Have accepted,Teach (>4),1,1,0
2001/2002,72,NA,10,Phd/DBA,NA,NA,NA,NA,NA,"$80,000",NA,NA,"$1,000","$3,500",6,NA,NA,NA,switched Asst,urban,private,No,USA,US W.,Masters,National,Have accepted,Teach (>4),0,1,0
2001/2002,73,NA,NA,Phd/DBA,NA,NA,NA,NA,NA,"$100,000","$22,222",3,"$1,500","$8,000",2,NA,NA,NA,Asst,urban,mixed,NA,USA,US W.,Doctorate,National,Have accepted,Research (<=4),1,1,0
2001/2002,74,NA,NA,Phd/DBA,NA,NA,NA,NA,NA,"$100,000","$22,222",3,"$1,500","$8,000",2,NA,NA,NA,Asst,urban,mixed,NA,USA,US W.,Doctorate,National,Have accepted,Research (<=4),1,1,0
2001/2002,75,NA,6,Phd/DBA,NA,NA,NA,NA,NA,"$115,000","$23,000",3,"$4,000","$8,000",4,NA,NA,NA,switched Asst,suburban,public,No,USA,US M.W.,Doctorate,National,Have accepted,Research (<=4),1,1,0
2001/2002,76,NA,2,Phd/DBA,NA,NA,NA,NA,NA,"$27,002",NA,NA,$357,"$1,136",12,NA,NA,NA,instructor,rural,public,Yes,Australia,NA,Doctorate,National,Have accepted,Teach (>4),0,1,0
2001/2002,77,NA,2,Phd/DBA,NA,NA,NA,NA,NA,"$105,000","$23,333",6,"$4,000","$5,000",3,NA,NA,NA,Asst,urban,public,NA,USA,US S.,Doctorate,National,NA,Research (<=4),1,1,0
2001/2002,78,NA,2,Phd/DBA,NA,NA,NA,NA,NA,"$112,000","$24,889",6,"$5,000","$5,000",2.5,NA,NA,NA,Asst,urban,public,Yes,USA,US W.,Doctorate,National,NA,Research (<=4),1,1,0
