Year,#,identity,Yrs_exp,Educ.,Top J Pubs,Ref J Pubs,Textbooks,Research Books,Other Pubs,Salary,Summer,summer_yrs,res_budget,move_supp,tch_load,Tenure Req Lvl,Tenure Req #A,Tenure Req #tot,Position,location,pub_prvt,Union?,Country,Region,schl_deg,accredit.,Accepted?,Tch/Res,%_Summer,%_Budget,tot_J pubs
2000/2001,137,yes,3,Phd/DBA,,,,,," $96,500 "," $19,300 ",3," $2,000 "," $4,000 ",4,,,,Asst,suburban,public,No,USA,US N.E.,Doctorate,National,Have accepted,Research (<=4),1,1,0
2000/2001,138,,4,Phd/DBA,,,,,," $77,500 "," $3,000 ",1," $4,000 ", $- ,6,,,,Asst,urban,private,No,USA,US N.E.,Masters,National,Have accepted,Teach (>4),1,1,0
2000/2001,139,yes,0,Phd/DBA,,,,,," $30,000 ",,,," $10,000 ",6,,,,Asst,urban,public,Yes,UK,,Doctorate,National,Have accepted,Teach (>4),0,0,0
2000/2001,140,yes,7,Phd/DBA,,,,,," $90,000 "," $20,000 ",2," $3,500 "," $10,000 ",4,,,,Asst,urban,public,No,USA,US S.,Doctorate,National,Have accepted,Research (<=4),1,1,0
2000/2001,141,yes,5,Phd/DBA,,,,,," $78,000 "," $8,000 ",1," $2,000 "," $4,500 ",4,,,,Asst,urban,private,No,USA,US N.E.,Doctorate,National,Have accepted,Research (<=4),1,1,0
2000/2001,142,,4,Phd/DBA,,,,,," $80,000 ",,,, $- ,4,,,,Asst,suburban,public,Yes,USA,US N.E.,unspecified,National,Have accepted,Research (<=4),0,0,0
2000/2001,143,,3,Phd/DBA,,,,,," $90,000 "," $20,000 ",3," $5,000 "," $4,000 ",3,,,,switched Asst,suburban,public,No,USA,US S.,Masters,National,won't accept,Research (<=4),1,1,0
2000/2001,144,yes,4,Phd/DBA,,,,,," $87,000 "," $16,500 ",2,," $3,000 ",4,,,,Asst,rural,public,No,USA,US S.,Doctorate,unspecified,Have accepted,Research (<=4),1,0,0
2000/2001,145,yes,4,Phd/DBA,,,,,," $85,000 "," $18,888 ",2,, $- ,3,,,,Asst,rural,private,No,USA,US N.E.,unspecified,unspecified,won't accept,Research (<=4),1,0,0
2000/2001,146,yes,4,Phd/DBA,,,,,," $70,000 ",,,," $1,000 ",6,,,,Asst,rural,private,No,USA,US S.,Masters,unspecified,won't accept,Teach (>4),0,0,0
2000/2001,147,,6,Phd/DBA,,,,,," $115,000 "," $20,000 ",3," $5,000 "," $3,500 ",4,,,,assoc/not tenured,suburban,public,No,USA,US M.W.,Doctorate,National,Have accepted,Research (<=4),1,1,0
2000/2001,148,,6,Phd/DBA,,,,,," $105,000 "," $15,000 ",3," $3,500 "," $3,000 ",4,,,,assoc/not tenured,suburban,public,No,USA,US M.W.,Doctorate,National,won't accept,Research (<=4),1,1,0
2000/2001,149,,2,Phd/DBA,,,,,," $91,000 "," $10,000 ",3," $4,500 "," $3,000 ",6,,,,switched Asst,urban,mixed,No,USA,US W.,Doctorate,National,Have accepted,Teach (>4),1,1,0
2000/2001,150,yes,8,Phd/DBA,,,,,," $95,000 "," $10,555 ",2,," $10,000 ",4,,,,associate/tenure,urban,public,No,USA,US W.,Doctorate,National,Have accepted,Research (<=4),1,0,0
2000/2001,151,yes,0,Phd/DBA,,,,,," $95,000 "," $20,000 ",2,," $5,000 ",4,,,,Asst,urban,public,Yes,USA,US N.E.,Doctorate,National,Have accepted,Research (<=4),1,0,0
2000/2001,152,,0,MBA/MS,,,,,," $40,000 ",,,, $- ,6,,,,instructor,rural,public,No,USA,US S.,Masters,National,Have accepted,Teach (>4),0,0,0
2000/2001,153,,17,Phd/DBA,,,,,," $130,000 ",,,, $- ,2,,,,full/chair,urban,public,No,USA,,Doctorate,National,Have accepted,Research (<=4),0,0,0
2000/2001,154,,1,Phd/DBA,,,,,," $70,000 ",,," $3,000 "," $1,000 ",7,,,,Asst,rural,public,No,USA,US S.,Masters,Local,Have accepted,Teach (>4),0,1,0
2000/2001,155,yes,25,Phd/DBA,,,,,," $210,000 ",,," $20,000 "," $10,000 ",9,,,,full/chair,urban,private,No,USA,US S.,Masters,National,won't accept,Teach (>4),0,1,0
2000/2001,156,yes,15,MBA/MS,,,,,," $1,200 "," $5,000 ",2,, $- ,2,,,,instructor,suburban,public,Yes,Indonesia,,Doctorate,National,Have accepted,Research (<=4),1,0,0
2000/2001,157,,0,Phd/DBA,,,,,," $75,000 "," $4,000 ",2,, $- ,6,,,,Asst,rural,public,Yes,USA,US S.,Masters,Regional,might accept,Teach (>4),1,0,0
2000/2001,158,,14,Phd/DBA,,,,,," $142,500 "," $25,000 ",5," $10,000 "," $10,000 ",3,,,,full/chair,rural,public,No,USA,,Doctorate,National,Have accepted,Research (<=4),1,1,0
2000/2001,159,,1,Phd/DBA,,,,,," $90,000 "," $15,000 ",3," $10,000 "," $4,000 ",4,,,,Asst,urban,public,No,USA,US W.,Masters,National,might accept,Research (<=4),1,1,0
2001/2002,1,,1,Phd/DBA,,,,,," $102,500 "," $22,500 ",2," $3,000 "," $4,500 ",4,,,,Asst,urban,private,No,USA,US N.E.,Doctorate,National,Have accepted,Research (<=4),1,1,0
2001/2002,2,,1,Phd/DBA,,,,,," $54,000 "," $10,000 ",1," $5,000 ",,4,,,,Asst,urban,private,No,USA,US S.,Doctorate,National,Have accepted,Research (<=4),1,1,0
2001/2002,3,yes,4,Phd/DBA,,,,,," $90,000 "," $20,000 ",2,,,4,,,,Asst,urban,private,No,USA,US N.E.,Masters,National,won't accept,Research (<=4),1,0,0
2001/2002,4,yes,4,Phd/DBA,,,,,," $97,000 "," $21,555 ",2," $1,000 "," $10,777 ",4,,,,Asst,urban,public,No,USA,US M.W.,Doctorate,National,might accept,Research (<=4),1,1,0
2001/2002,5,,,Phd/DBA,,,,,," $85,000 "," $14,166 ",3,," $14,166 ",5,,,,Asst,urban,private,No,USA,US N.E.,Masters,National,won't accept,Teach (>4),1,0,0
2001/2002,6,,3,Phd/DBA,,,,,," $95,000 "," $21,111 ",2,," $2,500 ",4,,,,switched Asst,urban,public,No,USA,US S.,Doctorate,National,won't accept,Research (<=4),1,0,0
2001/2002,7,,3,Phd/DBA,,,,,," $95,000 "," $10,000 ",2,,,4,,,,switched Asst,urban,public,No,USA,US S.,Masters,National,won't accept,Research (<=4),1,0,0
2001/2002,8,,1,Phd/DBA,,,,,," $95,000 "," $20,000 ",3,," $10,000 ",3,,,,Asst,urban,private,No,USA,US N.E.,Doctorate,National,won't accept,Research (<=4),1,0,0
2001/2002,9,,1,Phd/DBA,,,,,," $105,000 "," $15,000 ",3,," $6,000 ",4,,,,Asst,rural,public,No,USA,US N.E.,Doctorate,National,Have accepted,Research (<=4),1,0,0
2001/2002,10,,1,Phd/DBA,,,,,," $100,000 "," $15,000 ",4," $6,000 "," $9,000 ",4,,,,Asst,rural,public,No,USA,US N.E.,Doctorate,National,won't accept,Research (<=4),1,1,0
2001/2002,11,yes,6,Phd/DBA,,,,,," $87,500 "," $7,500 ",2, $600 ," $2,500 ",5,,,,switched Asst,urban,private,No,USA,US M.W.,Masters,National,won't accept,Teach (>4),1,1,0
2001/2002,12,yes,6,Phd/DBA,,,,,," $100,000 "," $7,500 ",2,," $4,000 ",6,,,,assoc/not tenured,rural,public,Yes,USA,US M.W.,Masters,National,won't accept,Teach (>4),1,0,0
2001/2002,13,yes,6,Phd/DBA,,,,,," $85,000 "," $20,000 ",2,," $8,000 ",2,,,,assoc/not tenured,urban,public,Yes,USA,US N.E.,Doctorate,National,won't accept,Research (<=4),1,0,0
2001/2002,14,yes,6,Phd/DBA,,,,,," $97,000 "," $22,000 ",2," $1,000 "," $10,700 ",4,,,,switched Asst,urban,public,No,USA,US M.W.,Doctorate,National,Have accepted,Research (<=4),1,1,0
2001/2002,15,,10,Phd/DBA,,,,,," $99,000 "," $22,000 ",2," $3,000 "," $5,000 ",4,,,,assoc/not tenured,rural,public,No,USA,,Doctorate,National,Have accepted,Research (<=4),1,1,0
2001/2002,16,yes,0.5,Phd/DBA,,,,,," $105,000 "," $15,000 ",3," $3,000 "," $6,000 ",4,,,,Asst,rural,public,Yes,USA,US N.E.,Doctorate,National,Have accepted,Research (<=4),1,1,0
2001/2002,17,yes,0.5,Phd/DBA,,,,,," $93,000 ",,," $3,000 "," $3,000 ",4,,,,Asst,urban,public,No,USA,US S.,Masters,National,won't accept,Research (<=4),0,1,0
2001/2002,18,yes,0.5,Phd/DBA,,,,,," $80,000 "," $5,000 ",2,," $3,000 ",4,,,,Asst,urban,public,No,USA,US W.,Masters,Regional,won't accept,Research (<=4),1,0,0
2001/2002,19,yes,9,Phd/DBA,,,,,," $100,000 "," $12,500 ",2," $2,000 "," $2,500 ",4,,,,associate/tenure,urban,public,Yes,USA,US S.,Doctorate,National,Have accepted,Research (<=4),1,1,0
2001/2002,20,yes,9,Phd/DBA,,,,,," $105,000 ",,, $500 , $- ,5,,,,associate/tenure,suburban,public,Yes,USA,US S.,Doctorate,National,won't accept,Teach (>4),0,1,0
2001/2002,21,,5,Phd/DBA,,,,,," $100,000 "," $22,500 ",2,," $11,225 ",3,,,,switched Asst,urban,public,No,USA,US W.,Doctorate,National,won't accept,Research (<=4),1,0,0
2001/2002,22,,5,Phd/DBA,,,,,," $105,000 "," $23,333 ",3,," $3,500 ",4,,,,assoc/not tenured,urban,public,No,USA,US S.,Doctorate,National,won't accept,Research (<=4),1,0,0
2001/2002,23,,5,Phd/DBA,,,,,," $105,000 "," $23,333 ",3," $3,500 "," $7,500 ",4,,,,assoc/not tenured,urban,public,No,USA,US S.,Doctorate,National,Have accepted,Research (<=4),1,1,0
2001/2002,24,yes,5,Phd/DBA,,,,,," $70,000 ",,," $3,500 "," $8,000 ",6,,,,assoc/not tenured,urban,private,No,USA,US S.,Masters,National,might accept,Teach (>4),0,1,0
2001/2002,25,,1,Phd/DBA,,,,,," $82,000 "," $6,000 ",2,,,6,,,,Asst,suburban,public,No,USA,US M.W.,Masters,National,Have accepted,Teach (>4),1,0,0
2001/2002,26,,1,Phd/DBA,,,,,," $90,000 "," $10,000 ",3,," $5,000 ",4,,,,Asst,suburban,public,No,USA,US W.,Doctorate,National,Have accepted,Research (<=4),1,0,0
2001/2002,27,,4,Phd/DBA,,,,,," $110,000 "," $20,000 ",3," $5,000 "," $5,000 ",4,,,,assoc/not tenured,urban,private,No,USA,US N.E.,Doctorate,National,might accept,Research (<=4),1,1,0
2001/2002,28,,4,Phd/DBA,,,,,," $120,000 "," $26,666 ",3," $3,500 "," $3,000 ",4,,,,assoc/not tenured,suburban,public,No,USA,US N.E.,Doctorate,National,might accept,Research (<=4),1,1,0
2001/2002,29,,1,Phd/DBA,,,,,," $96,500 "," $21,444 ",3," $3,500 "," $3,000 ",4,,,,Asst,suburban,public,No,USA,US M.W.,Doctorate,National,might accept,Research (<=4),1,1,0
2001/2002,30,,1,Phd/DBA,,,,,," $92,500 "," $21,444 ",3," $4,000 "," $3,500 ",3,,,,Asst,suburban,public,No,USA,US S.,Doctorate,National,might accept,Research (<=4),1,1,0
2001/2002,31,yes,3,Phd/DBA,,,,,," $44,000 ",,,," $3,000 ",6,,,,associate/tenure,urban,public,,United Kingdom,,Doctorate,National,Have accepted,Teach (>4),0,0,0
2001/2002,32,,8,Phd/DBA,,,,,," $90,000 "," $7,000 ",3," $1,800 "," $8,000 ",5,,,,assoc/not tenured,urban,private,No,USA,US M.W.,Bachelor,National,won't accept,Teach (>4),1,1,0
2001/2002,33,,1,Phd/DBA,,,,,," $95,000 "," $21,000 ",3,,,4,,,,Asst,urban,private,No,USA,US N.E.,Doctorate,National,Have accepted,Research (<=4),1,0,0
2001/2002,34,,2,Phd/DBA,,,,,," $82,500 ",,," $2,000 ", $- ,6,,,,switched Asst,suburban,public,No,USA,US S.,Masters,National,Have accepted,Teach (>4),0,1,0
2001/2002,35,yes,12,Phd/DBA,,,,,," $96,000 "," $16,000 ",1," $1,500 "," $3,000 ",4,,,,assoc/not tenured,rural,public,No,USA,US S.,Doctorate,National,Have accepted,Research (<=4),1,1,0
2001/2002,36,yes,12,Phd/DBA,,,,,," $82,000 "," $2,000 ",1," $1,500 "," $2,000 ",4,,,,switched Asst,rural,public,No,USA,US M.W.,Masters,National,won't accept,Research (<=4),1,1,0
2001/2002,37,,1,Phd/DBA,,,,,," $56,000 "," $18,667 ",1," $10,000 "," $12,000 ",3,,,,Asst,suburban,public,Yes,USA,US S.,Doctorate,National,Have accepted,Research (<=4),1,1,0
2001/2002,38,,3,Phd/DBA,,,,,," $90,000 "," $18,000 ",2,," $2,500 ",4,,,,switched Asst,urban,public,No,USA,US S.,Doctorate,National,won't accept,Research (<=4),1,0,0
2001/2002,39,,3,Phd/DBA,,,,,," $78,500 "," $6,500 ",2,,,6,,,,switched Asst,suburban,public,No,USA,US W.,Masters,National,won't accept,Teach (>4),1,0,0
2001/2002,40,,0,MBA/MS,,,,,," $82,500 "," $6,500 ",1," $10,000 "," $5,000 ",2,,,,Asst,urban,public,Yes,USA,US N.E.,Doctorate,National,won't accept,Research (<=4),1,1,0
2001/2002,41,,0,MBA/MS,,,,,," $85,000 "," $16,500 ",4,," $2,500 ",5,,,,Asst,suburban,private,No,USA,US N.E.,Masters,National,might accept,Teach (>4),1,0,0
2001/2002,42,,0,MBA/MS,,,,,," $96,000 "," $16,000 ",3,," $2,500 ",6,,,,Asst,urban,private,No,USA,US N.E.,Masters,National,might accept,Teach (>4),1,0,0
2001/2002,43,yes,6,Phd/DBA,,,,,," $75,000 ",,,," $1,000 ",6,,,,switched Asst,urban,public,No,USA,US M.W.,Masters,none,won't accept,Teach (>4),0,0,0
2001/2002,44,,5,Phd/DBA,,,,,," $15,500 ",,,, $- ,24,,,,associate/tenure,suburban,public,No,Spain,,Doctorate,,Have accepted,Teach (>4),0,0,0
2001/2002,45,,4,Phd/DBA,,,,,," $105,000 "," $2,000 ",3," $3,000 "," $9,000 ",4,,,,switched Asst,urban,public,No,USA,US S.,Doctorate,National,Have accepted,Research (<=4),1,1,0
2001/2002,46,,2,Phd/DBA,,,,,," $100,000 "," $20,000 ",3," $3,500 ", $- ,4,,,,Asst,urban,private,No,USA,US N.E.,Doctorate,National,might accept,Research (<=4),1,1,0
2001/2002,47,,2,Phd/DBA,,,,,," $96,000 "," $21,333 ",3," $3,500 "," $4,000 ",3,,,,Asst,rural,mixed,No,USA,US N.E.,Masters,National,might accept,Research (<=4),1,1,0
2001/2002,48,,2,Phd/DBA,,,,,," $95,000 "," $15,833 ",2,,,4,,,,Asst,suburban,public,No,USA,US M.W.,Doctorate,National,might accept,Research (<=4),1,0,0
2001/2002,49,,0,Phd/DBA,,,,,," $112,000 "," $24,888 ",3," $5,000 "," $15,000 ",4,,,,Asst,urban,private,No,USA,US S.,Masters,National,won't accept,Research (<=4),1,1,0
2001/2002,50,,0,Phd/DBA,,,,,," $110,000 "," $24,444 ",6," $3,500 "," $7,500 ",4,,,,Asst,urban,private,No,USA,US S.,Doctorate,National,won't accept,Research (<=4),1,1,0
2001/2002,51,,0,Phd/DBA,,,,,," $106,000 "," $23,555 ",3," $6,000 "," $8,000 ",3.5,,,,Asst,rural,public,No,USA,US N.E.,Doctorate,National,won't accept,Research (<=4),1,1,0
2001/2002,52,,0,Phd/DBA,,,,,," $102,000 "," $22,666 ",6," $6,000 "," $7,500 ",3,,,,Asst,suburban,private,No,USA,US M.W.,Masters,National,Have accepted,Research (<=4),1,1,0
2001/2002,53,,0,Phd/DBA,,,,,," $97,000 "," $21,555 ",3," $6,000 "," $11,000 ",4,,,,Asst,urban,public,No,USA,US M.W.,Doctorate,National,won't accept,Research (<=4),1,1,0
2001/2002,54,,2,Phd/DBA,,,,,," $100,000 "," $20,000 ",3,," $3,000 ",4,,,,Asst,urban,private,No,USA,US N.E.,Masters,National,might accept,Research (<=4),1,0,0
2001/2002,55,yes,11,Phd/DBA,,,,,," $99,000 "," $22,000 ",2," $3,000 "," $3,000 ",4,,,,assoc/not tenured,urban,public,No,USA,US M.W.,Doctorate,National,Have accepted,Research (<=4),1,1,0
2001/2002,56,,1,Phd/DBA,,,,,," $95,000 "," $21,100 ",3," $5,000 "," $5,000 ",7,,,,Asst,urban,private,No,USA,US N.E.,Doctorate,National,won't accept,Teach (>4),1,1,0
2001/2002,57,,1,Phd/DBA,,,,,," $95,000 "," $21,000 ",4," $5,000 "," $5,000 ",3,,,,Asst,urban,private,No,USA,US N.E.,Doctorate,National,won't accept,Research (<=4),1,1,0
2001/2002,58,,1,Phd/DBA,,,,,," $94,000 "," $9,000 ",2," $4,000 "," $2,000 ",4,,,,Asst,urban,public,No,USA,US S.,Doctorate,National,won't accept,Research (<=4),1,1,0
2001/2002,59,,4,Phd/DBA,,,,,," $85,500 "," $15,000 ",3,," $9,000 ",4,,,,switched Asst,suburban,private,Yes,Australia,,Doctorate,National,Have accepted,Research (<=4),1,0,0
2001/2002,60,,0,MBA/MS,,,,,," $96,000 "," $16,000 ",3,,,5,,,,Asst,urban,private,No,USA,US N.E.,Masters,National,won't accept,Teach (>4),1,0,0
2001/2002,61,,0,MBA/MS,,,,,," $94,000 "," $19,000 ",2,,,4,,,,Asst,urban,public,Yes,USA,US S.,Doctorate,National,won't accept,Research (<=4),1,0,0
2001/2002,62,,0,MBA/MS,,,,,," $85,000 "," $20,000 ",1,,,4,,,,Asst,urban,public,Yes,USA,US N.E.,Doctorate,National,won't accept,Research (<=4),1,0,0
2001/2002,63,,0,MBA/MS,,,,,," $90,000 "," $15,000 ",4,,,5,,,,Asst,suburban,private,No,USA,US N.E.,Masters,National,Have accepted,Teach (>4),1,0,0
2001/2002,64,yes,2,Phd/DBA,,,,,," $105,000 "," $15,000 ",3," $3,000 "," $5,000 ",4,,,,switched Asst,urban,public,No,USA,US W.,Doctorate,National,Have accepted,Research (<=4),1,1,0
2001/2002,65,yes,2,Phd/DBA,,,,,," $90,000 "," $9,000 ",2,," $5,000 ",4,,,,switched Asst,urban,public,No,USA,US W.,Doctorate,National,won't accept,Research (<=4),1,0,0
2001/2002,66,yes,2,Phd/DBA,,,,,," $82,500 "," $18,000 ",1,," $5,000 ",3,,,,switched Asst,urban,public,Yes,USA,US N.E.,Doctorate,National,won't accept,Research (<=4),1,0,0
2001/2002,67,,16,Phd/DBA,,,,,," $100,000 "," $22,000 ",2," $3,500 "," $7,000 ",4,,,,assoc/not tenured,suburban,private,No,USA,US W.,Doctorate,National,Have accepted,Research (<=4),1,1,0
2001/2002,68,,3,Phd/DBA,,,,,," $105,000 "," $23,100 ",4,," $5,000 ",4,,,,switched Asst,unspecified,public,No,USA,US S.,unspecified,National,Have accepted,Research (<=4),1,0,0
2001/2002,69,yes,3,Phd/DBA,,,,,," $90,000 "," $19,800 ",3," $4,000 "," $4,000 ",4,,,,Asst,urban,public,No,USA,US S.,Doctorate,National,won't accept,Research (<=4),1,1,0
2001/2002,70,yes,5,Phd/DBA,,,,,," $90,000 "," $18,000 ",2," $8,000 "," $1,000 ",4,,,,switched Asst,urban,public,No,USA,US M.W.,unspecified,National,Have accepted,Research (<=4),1,1,0
2001/2002,71,yes,6,Phd/DBA,,,,,," $78,000 "," $17,333 ",2," $2,500 ",,5,,,,switched Asst,rural,public,No,USA,US N.E.,Doctorate,National,Have accepted,Teach (>4),1,1,0
2001/2002,72,,10,Phd/DBA,,,,,," $80,000 ",,," $1,000 "," $3,500 ",6,,,,switched Asst,urban,private,No,USA,US W.,Masters,National,Have accepted,Teach (>4),0,1,0
2001/2002,73,,,Phd/DBA,,,,,," $100,000 "," $22,222 ",3," $1,500 "," $8,000 ",2,,,,Asst,urban,mixed,,USA,US W.,Doctorate,National,Have accepted,Research (<=4),1,1,0
2001/2002,74,,,Phd/DBA,,,,,," $100,000 "," $22,222 ",3," $1,500 "," $8,000 ",2,,,,Asst,urban,mixed,,USA,US W.,Doctorate,National,Have accepted,Research (<=4),1,1,0
2001/2002,75,,6,Phd/DBA,,,,,," $115,000 "," $23,000 ",3," $4,000 "," $8,000 ",4,,,,switched Asst,suburban,public,No,USA,US M.W.,Doctorate,National,Have accepted,Research (<=4),1,1,0
2001/2002,76,,2,Phd/DBA,,,,,," $27,002 ",,, $357 ," $1,136 ",12,,,,instructor,rural,public,Yes,Australia,,Doctorate,National,Have accepted,Teach (>4),0,1,0
2001/2002,77,,2,Phd/DBA,,,,,," $105,000 "," $23,333 ",6," $4,000 "," $5,000 ",3,,,,Asst,urban,public,,USA,US S.,Doctorate,National,,Research (<=4),1,1,0
2001/2002,78,,2,Phd/DBA,,,,,," $112,000 "," $24,889 ",6," $5,000 "," $5,000 ",2.5,,,,Asst,urban,public,Yes,USA,US W.,Doctorate,National,,Research (<=4),1,1,0
2001/2002,79,,25,Phd/DBA,,,,,," $101,000 "," $34,000 ",10," $30,000 "," $9,000 ",2,,,,full/chair,rural,public,Yes,USA,US M.W.,Doctorate,National,Have accepted,Research (<=4),1,1,0
2001/2002,80,yes,1,Phd/DBA,,,,,," $80,000 "," $17,000 ",2," $5,000 "," $10,000 ",4,,,,Asst,urban,public,No,Canada,,Doctorate,,Have accepted,Research (<=4),1,1,0
2001/2002,81,,7,Phd/DBA,,,,,," $67,000 "," $6,000 ",1,," $2,500 ",5.5,,,,switched Asst,rural,private,No,USA,US N.E.,Bachelor,National,Have accepted,Teach (>4),1,0,0
2001/2002,82,yes,1,Phd/DBA,,,,,," $83,000 "," $5,000 ",2," $2,000 "," $2,000 ",4,,,,Asst,urban,public,No,USA,US W.,Masters,National,Have accepted,Research (<=4),1,1,0
2001/2002,83,yes,0.3,Phd/DBA,,,,,," $102,000 "," $20,400 ",3," $4,000 "," $5,500 ",4,,,,Asst,rural,public,No,USA,,Doctorate,National,Have accepted,Research (<=4),1,1,0
2001/2002,84,yes,5,BS/BA,,,,,," $60,000 ",,,, $500 ,6,,,,Asst,rural,public,No,USA,US S.,Masters,National,Have accepted,Teach (>4),0,0,0
2001/2002,85,,11,Phd/DBA,,,,,," $115,000 "," $25,555 ",2," $7,500 "," $5,000 ",4,,,,switched Asst,suburban,public,,USA,US S.,unspecified,National,Have accepted,Research (<=4),1,1,0
2001/2002,86,yes,11,Phd/DBA,,,,,," $110,000 ",,," $3,000 ",,2,,,,visitor,rural,private,,USA,US N.E.,Doctorate,National,Have accepted,Research (<=4),0,1,0
2001/2002,87,yes,6,Phd/DBA,,,,,," $120,000 "," $26,666 ",3," $2,500 "," $10,000 ",3.3,,,,switched Asst,suburban,public,,USA,US M.W.,Doctorate,National,Have accepted,Research (<=4),1,1,0
2001/2002,88,,6,Phd/DBA,,,,,," $85,000 "," $11,000 ",1,," $3,000 ",5,,,,switched Asst,urban,public,,USA,US S.,Doctorate,National,Have accepted,Teach (>4),1,0,0
2001/2002,89,,19,Phd/DBA,,,,,," $75,000 "," $9,375 ",2,," $2,500 ",6,,,,switched Asst,suburban,public,,USA,US S.,Bachelor,National,Have accepted,Teach (>4),1,0,0
2001/2002,90,yes,2,Phd/DBA,,,,,," $70,000 ",,," $30,000 ",,4,,,,instructor,urban,private,,USA,US N.E.,Doctorate,National,Have accepted,Research (<=4),0,1,0
2001/2002,91,yes,1,Phd/DBA,,,,,," $90,000 "," $9,000 ",3," $3,000 "," $7,000 ",4,,,,Asst,suburban,public,,USA,US W.,Doctorate,National,Have accepted,Research (<=4),1,1,0
2001/2002,92,,6,Phd/DBA,,,,,," $85,000 "," $12,750 ",5," $1,000 "," $5,000 ",6,,,,switched Asst,suburban,public,,USA,US M.W.,Masters,National,Have accepted,Teach (>4),1,1,0
2001/2002,93,,7,Phd/DBA,,,,,," $120,000 ",,,," $25,000 ",4,,,,assoc/not tenured,suburban,public,,USA,US W.,Doctorate,National,won't accept,Research (<=4),0,0,0
2001/2002,94,,7,Phd/DBA,,,,,," $90,000 ",,," $6,000 "," $6,000 ",4,,,,visitor,urban,public,,USA,US S.,Doctorate,National,Have accepted,Research (<=4),0,1,0
2001/2002,95,,8,Phd/DBA,,,,,," $68,000 "," $6,000 ",1," $1,000 "," $3,000 ",6,,,,assoc/not tenured,rural,public,,USA,US W.,Masters,National,Have accepted,Teach (>4),1,1,0
2001/2002,96,yes,1,Phd/DBA,,,,,," $112,500 "," $25,000 ",4," $4,000 "," $10,000 ",3,,,,Asst,urban,mixed,,USA,US S.,Doctorate,National,Have accepted,Research (<=4),1,1,0
2001/2002,97,yes,1,Phd/DBA,,,,,," $107,000 "," $23,777 ",3," $3,000 "," $10,000 ",4,,,,Asst,urban,mixed,,USA,US W.,Doctorate,National,won't accept,Research (<=4),1,1,0
2001/2002,98,yes,1,Phd/DBA,,,,,," $105,000 "," $23,333 ",3," $5,000 "," $7,000 ",2.5,,,,Asst,urban,mixed,,USA,US S.,Masters,National,won't accept,Research (<=4),1,1,0
2001/2002,99,,10,Phd/DBA,,,,,," $108,000 "," $24,000 ",2," $3,000 "," $5,000 ",4,,,,associate/tenure,urban,public,,USA,US M.W.,Doctorate,National,won't accept,Research (<=4),1,1,0
2001/2002,100,yes,10,Phd/DBA,,,,,," $126,453 ",,," $5,806 "," $3,000 ",3,,,,assoc/not tenured,suburban,public,,Hong Kong,,Doctorate,National,Have accepted,Research (<=4),0,1,0
2001/2002,101,yes,1,Phd/DBA,,,,,," $92,000 "," $12,000 ",3," $3,000 "," $10,000 ",3,,,,Asst,urban,public,,USA,US M.W.,Doctorate,,won't accept,Research (<=4),1,1,0
2001/2002,102,yes,1,Phd/DBA,,,,,," $94,000 "," $94,000 ",2," $2,000 "," $6,000 ",4,,,,Asst,urban,public,,USA,US N.E.,Doctorate,National,won't accept,Research (<=4),1,1,0
2001/2002,103,yes,1,Phd/DBA,,,,,," $95,000 "," $17,812 ",2," $3,000 "," $5,000 ",4,,,,Asst,urban,public,,USA,US S.,Doctorate,National,won't accept,Research (<=4),1,1,0
2001/2002,104,yes,3,Phd/DBA,,,,,," $78,500 "," $6,500 ",1," $2,500 ",,6,,,,Asst,urban,public,Yes,USA,US W.,Masters,National,might accept,Teach (>4),1,1,0
2001/2002,105,,2,Phd/DBA,,,,,," $96,000 ",,," $4,600 ", $- ,4,,,,visitor,suburban,public,,USA,US W.,Masters,National,Have accepted,Research (<=4),0,1,0
2001/2002,106,yes,3,Phd/DBA,,,,,," $80,000 "," $5,000 ",1,,,4,,,,switched Asst,suburban,public,,USA,US W.,Masters,National,won't accept,Research (<=4),1,0,0
2001/2002,107,yes,3,Phd/DBA,,,,,," $87,000 ",,,,,4,,,,switched Asst,suburban,public,,USA,US M.W.,Doctorate,National,won't accept,Research (<=4),0,0,0
2001/2002,108,yes,3,Phd/DBA,,,,,," $88,000 ",,,,,6,,,,switched Asst,suburban,private,,USA,US W.,Masters,National,won't accept,Teach (>4),0,0,0
2001/2002,109,yes,3,Phd/DBA,,,,,," $95,000 "," $9,500 ",2,," $5,000 ",4,,,,switched Asst,suburban,public,,USA,US W.,Masters,National,Have accepted,Research (<=4),1,0,0
2001/2002,110,yes,5,Phd/DBA,,,,,," $110,000 "," $24,200 ",3," $5,000 "," $7,500 ",3,,,,switched Asst,suburban,public,,USA,US S.,Masters,National,Have accepted,Research (<=4),1,1,0
2001/2002,111,yes,5,Phd/DBA,,,,,," $118,000 "," $25,900 ",3," $5,000 "," $5,000 ",4,,,,switched Asst,urban,private,,USA,US N.E.,Masters,National,won't accept,Research (<=4),1,1,0
2001/2002,112,yes,6,Phd/DBA,,,,,," $70,000 "," $8,000 ",2," $1,000 "," $3,000 ",5,,,,switched Asst,suburban,public,,USA,US S.,Masters,none,won't accept,Teach (>4),1,1,0
2001/2002,113,yes,0,Phd/DBA,,,,,," $75,000 ",,0,," $5,000 ",6,,,,Asst,rural,public,,USA,US W.,Bachelor,National,Have accepted,Teach (>4),0,0,0
